x,y,a,alpha
0.0,0.0,1.0000000000008527,0.22372413428792293
0.0,0.0,1.0000000000003961,0.21087883801807897
0.004525483399597763,0.004525483399597762,1.0000000000001275,0.19323435733591474
0.013574376222023413,0.013578523700428093,0.9999999999993139,0.172454866671336
0.0271356184866718,0.027170164816932473,0.999999999998757,0.14823070166179825
0.04518225919208099,0.04532722292803887,1.0000000000007692,0.12163496779384028
0.06766593838464785,0.06809747040068417,0.9999999999992744,0.09504473385310758
0.09451308053264751,0.09555272415083566,1.0000000000010334,0.06770775795113614
0.12562294520746026,0.1277896024102848,1.0000000000000902,0.04053618605790585
0.16086722622923544,0.16492827033548754,0.9999999999978,0.01580507661159333
0.2000916521550634,0.20710888686476187,0.9999999999996484,-0.007339094862712987
0.24311938811695422,0.2544862436714951,1.0000000000002807,-0.028515600327872367
