x,y,alpha,a
-2.5,0.5,0.11973660484202178,0.9999856433243955
-2.5,0.5,-0.44865964858107327,0.9999999553111735
-2.5,0.5,-0.41253385932355524,1.0
-2.4954745168026444,0.5045254831973554,-0.36352417997180214,1.0
-2.486419391112677,0.5135722887892246,-0.3045955954151836,1.0
-2.4728127516355793,0.5271184820241358,-0.24151700088357692,1.0
-2.4546025229944544,0.5451114683853355,-0.1755648977565494,1.0
-2.4316985953868633,0.567458953296208,-0.10950176638178008,1.0
-2.4039702506377973,0.594023946718219,-0.048737845808533825,1.0
-2.3712492219549226,0.6246241796635439,0.006128155769510519,1.0
-2.333337850418024,0.6590359200860215,0.053803606335348045,1.0
-2.290020211598101,0.697000932059133,0.09148373034280412,1.0
-2.241075156049542,0.7382366144317992,0.11935729139622613,1.0
-2.18628939753783,0.7824483846296366,0.13808547855191888,1.0
-2.125468050959724,0.8293419210338685,0.14741808013727728,1.0
-2.058442262647731,0.8786347567563554,0.14804261967296264,1.0
-1.9850736199719776,0.9300662861975932,0.14170127355052248,1.0
-1.9052545474540794,0.9834040365013779,0.12963988017612887,1.0
-1.8189052975320261,1.0384455388366542,0.11214891576741359,1.0
-1.7259688950923286,1.095016423921927,0.0914433954384839,1.0
-1.6264044193346476,1.1529642892941891,0.06896809621069228,1.0
-1.5201782519647842,1.2121467300714375,0.043645605920595534,1.0
-1.4072558142915457,1.272417145672422,0.01860976524547928,1.0
-1.2875939062204584,1.3336085476820803,-0.005178090014052433,0.96000009155307
-1.1611310705515216,1.3955100106214287,-0.03018489506739345,0.6528000626671527
-1.0280137458511776,1.457737955218445,-0.05199554195105793,0.44390404270922235
-0.8899315766742106,1.5191476407065105,-0.07060266888386761,0.30185474898731335
-0.7480253027114149,1.5788735648166898,-0.08885893690556822,0.2052612291655406
-0.6030571087812839,1.6362094544016121,-0.10353172616412747,0.13957763559827338
-0.4555330320099716,1.690533879458186,-0.11382505913460754,0.0949127918773611
-0.3057881085935129,1.741254880090356,-0.12166249721155528,0.06454069805255155
-0.15405316530986163,1.7877856570659405,-0.1266509806213109,0.04388767413425911
-0.0005060071334282712,1.8295368251523054,-0.12751077148318155,0.029843617702193008
0.15469166140446017,1.8659104593392686,-0.12557793736462455,0.020293659133674914
