x,y,alpha,a
0.0,0.0,0.03000269085734571,0.9999834607363846
0.0,0.0,0.11065148513956835,1.0
0.0,0.0,0.10200696054510427,1.0
0.0032000000000000006,0.005542562584220407,0.09003999734746755,1.0
0.009598743902492608,0.016628412866012673,0.0759566252242175,1.0
0.019189615908153497,0.033261367329096805,0.060288073969110845,1.0
0.03195681327352249,0.05545052394744792,0.04357727577003703,1.0
0.04787275920035103,0.08321169584732041,0.026952697320635086,1.0
0.06689694713596764,0.11656795872837979,0.011074583956806005,1.0
0.08897630874291923,0.15554925925862728,-0.0038676703589489675,1.0
0.11404691412789411,0.20019122097214148,-0.01711413215877337,1.0
0.1420368013102676,0.2505333128587328,-0.028191386256268245,1.0
0.17286982207610152,0.30661650847429717,-0.03741114379471856,0.9999999980943594
0.20646994759519124,0.36848080807512845,-0.044427575964019306,0.9957222991232108
0.2427656110564516,0.4361628944202878,-0.04906363171946482,0.8593366603487528
0.2816813947030869,0.5096696760824551,-0.052174540725287544,0.7300231386259037
0.3227635402100402,0.588251148591056,-0.05379659445403619,0.6215220345883655
0.365610115806878,0.6711810671047849,-0.05475513724472806,0.5189364318282562
0.4099097640297336,0.7578365038168853,-0.055488940492012494,0.42212302981133415
0.4553936021127617,0.8476158245630011,-0.05625421879680266,0.33950145018710326
0.5018313196444639,0.93993991203815,-0.057776563884042585,0.2664162747621968
0.5490515961215462,1.0343023170616086,-0.06061644150616425,0.19813891189385058
0.5969247866446776,1.1302445512180208,-0.06500440487922342,0.13838734705934147
0.6453471255228042,1.2273299581173198,-0.0713584874867886,0.08914307309920204
0.6942503617276524,1.3251651944761877,-0.08009320094955685,0.04390165376691268
0.743607188299755,1.4234112700849288,-0.09122256845043375,0.0036125457034878955
0.7934134934119524,1.5217453052796297,-0.10478180427818658,-0.028221121492908206
0.8436926425874709,1.619864392182331,-0.12089484155815498,-0.05645608973353475
0.8945073321664294,1.7175036357620226,-0.1392594734054721,-0.08135745358270138
0.9459471713955324,1.8144060960249848,-0.1593951674091672,-0.10253058737060465
0.9981291092830693,1.9103186171507596,-0.1811301302862618,-0.1215041715500219
1.0511988066089646,2.004991241918614,-0.20379452208437643,-0.1389159368117151
1.1053246778461339,2.0981657980846133,-0.22657087573146373,-0.15537679429354775
1.1606932664922764,2.1895693876817712,-0.24906502817338913,-0.17040841286153405
1.2175024957475071,2.2789084048609265,-0.2704597176686013,-0.18417886989078336
1.275956312865414,2.36586908357815,-0.2896621915378472,-0.19752744453774246
1.3362560537104788,2.4501146740782835,-0.30640677436984004,-0.2096064078521904
1.3985873889458378,2.531280176325683,-0.31996503248366387,-0.22051782930356842
